Study ID;Title;Authors;RQ 1.1 Year;RQ 1.2 Venue;RQ 1.3 Country;RQ 1.4 Author's affiliation;RQ 1.4 Author's affiliation;RQ 1.5 Company;RQ 1.5 Company;RQ 1.6 Research results;RQ 2.1 Analytics type;RQ 2.2 Data Source;RQ 2.3 Methods;RQ 3.1 BDA purpose;RQ 3.2 Agile purpose;RQ 3.3 Tools
S44;Supporting Agile Teams with a Test Analytics Platform: A Case Study;Liechti, Jacques Pasquier, Rodney Reis;2017;AST;3 x Switzerland;Both;"University of Applied Sciences and Arts Western Switzerland
Fribourg Univesity
Avalia Systems";Avalia Systems;Multinational;Report;Descriptive;Logs;Visualization;4.5 Test Process - 4.5.2. Test Activities;Custom XP/Behavior-driven development (BDD)/Pair programming;Probe Doc
S45;Context-aware task allocation for distributed agile team;Lin;2013;ASE;1 x Singapore;Academic;Nanyang Technological University, Singapore;N/A;N/A;Procedure or technique;Predictive;Project artifacts;Graph based approach;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation/7.2 Software project planning - 7.2.4. Resource allocation;Scrum/Iteration/sprint planning/Team-based estimation (e.g. Planning Poker);N/A
S46;Studying Task Allocation Decisions of Novice Agile Teams with Data from Agile Project Management Tools;Lin, Han Yu, Zhiqi Shen, Chunyan Miao;2014;ASE;4 x Singapore/1 x China;Academic;"Nanyang Technological University, Singapore
School of Software, Beihang University, Beijing, China";N/A;N/A;Procedure or technique;Predictive;Logs;Exploratory Data Analysis (EDA);7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Scrum/Iteration/sprint planning/Team-based estimation (e.g. Planning Poker);Human-centered Agile Software
S47;Raising the odds of success: the current state of experimentation in product development;Lindgren, Jürgen Münch;2016;IST;2 x Finland /1 x Germany;Academic;"University of Helsinki
Reutlingen University";not disclosed (10 companies);Finland;Report;?;User feedback;N/A;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Custom Hybrid (multiple methodologies)/Continuous integration/Pair programming/Agile/Lean UX;N/A
S48;Automatic Classification of Non-Functional Requirements from Augmented App User Reviews;Lu, Peng Liang;2017;EASE;2 x China;Academic;School of Computer Science, Wuhan University;N/A;N/A;Procedure or technique;Predictive;User feedback;Naive Bayes/J48Bagging/Classification;1.3. Requirements Elicitation - 1.3.2. Elicitation Techniques;Other - Not Specified;N/A
S49;Using simulation for understanding and reproducing distributed software development processes in the cloud;M. Ilaria Lunesu, Jürgen Münch, Michele Marchesi, Marco Kuhrmann;2018;IST;2 x Italy/2 x Germany;Academic;University of Cagliari (2 incl 1st author), Bo?blingen & Reutlingen University, Clausthal University of Technology;not disclosed;Finland and Spain;Procedure or technique;Prescriptive;Project artifacts/Project execution;N/A;11.2 Group Dynamics and Psychology - 11.2.1 Dynamics of Working in Teams/Groups/7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Scrum/Kanban/Story mapping/Iteration/sprint planning/Release planning/Retrospectives;N/A
S50;Toward Data-Driven Requirements Engineering;Maalej, Maleknaz Nayebi, Timo Johann, Guenther Ruhe;2015;IEEE Software;2 x Germany/2 x Canada;Academic;"University of Hamburg
University of Calgary";N/A;N/A;Procedure or technique;Predictive;User feedback/Logs;N/A;1.4. Requirements Analysis - 1.4.4 Requirements negotiation/10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Other - Not Specified;N/A
S51;Predicting pull request completion time: a case study on large scale cloud services;Chandra Maddila,  Chetan Bansal, Nachiappan Nagappan;2019;ESEC/FSE;3 x USA;Industry;Microsoft Research;Microsoft;Global;Procedure or technique;Predictive;Logs/Source code/Project execution/Organization data;linear regression/gradient boosting;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified/Continuous integration/Continuous delivery/Continuous deployment;PRLifetime Service
S52;An ensemble-based model for predicting agile software development effort;Onkar Malgonde, Kaushal Chari;2019;Empirical Software Engineering;2 x USA;Academic;Northern Illinois University, University of South Florida;not disclosed;not disclosed;Procedure or technique;Predictive;Project artifacts/Project execution/Organization data;Bayesian network/Ridge regression/linear regression/Neural network/SVM/decision trees/KNN/custom ensemble algorithm;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified/Story mapping/Sprint/Iteration planning/Collective code ownership;N/A
S53;Using Bayesian Networks to estimate Strategic Indicators in the context of Rapid Software Development;Martí Manzano, Emilia Mendes, Cristina Gómez, Claudia Ayala, Xavier Franch;2018;PROMISE;4 x Spain/1 x Finland;Academic;Universitat Politècnica de Catalunya (4 incl 1st author), University of Oulu;not disclosed;not disclosed;Procedure or technique;Predictive;Issue reports/Source code;Naive Bayes;7.6. Software Engineering Measurement;N/A;N/A
S54;Test case prioritization for continuous regression testing: An industrial case study.;Marijan, A. Gotlieb, and S. Sen;2013;ICSME;3 x Norway;Both;Simula Research Laboratory;not disclosed (1 company);not disclosed;Empirical model;Predictive;Logs;Heuristics;4.5 Test Process - 4.5.2. Test Activities;Other - Not Specified/Continuous integration;ROCKET
S55;Multi-armed bandits in the wild: Pitfalls and strategies in online experiments;David Issa Mattos, Jan Bosch, Helena Holmström Olsso;2019;IST;3 x Sweden;Academic;Chalmers University of Technology, MalmöUniversity;not disclosed (5 companies);international;Report;Adaptive;User feedback;Multi-armed bandit;4.5 Test Process - 4.5.2. Test Activities;Other - Not Specified/Continuous experimentation;N/A
S56;Asymmetric Release Planning: Compromising Satisfaction against Dissatisfaction;Maleknaz Nayebi, Guenther Ruhe;2019;TSE;2 x Canada;Academic;University of Calgary;not disclosed (1 company) ;not disclosed;Procedure or technique;Prescriptive;User feedback/Project artifacts;Custom algorithm;6.6 Software Release Management and Delivery - 6.6.2. Software Release Management; Other - Not Specified/Release planning;N/A
S57;Collaborative prioritization of architectural concerns;Pareto, Anna Börjesson Sandberg, Peter Eriksson, Staffan Ehnebom;2012;JSS;4 x Sweden;Both;"Chalmers University of Technology and University of Gothenburg
Ericsson";Ericsson;Sweden;Procedure or technique;Descriptive;User feedback;N/A;2.3. Software Structure and Architecture - 2.3.4 Architecture Design Decisions;Custom Hybrid (multiple methodologies)/Other - Rational Unified Process (RUP)/Model-Driven Development (MDD);N/A
S58;An approach for effort estimation in incremental software development using cosmic function points;Paz, Claudia Zapata, José Antonio Pow-Sang;2014;ESEM;3 x Peru;Academic;Pontificia Universidad Catolica del Peru;N/A;N/A;Procedure or technique;Predictive;User feedback;Cosmic Function Points;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Rational Unified Process (RUP)/Other - Not Specified;N/A
S59;FastLane: Test Minimization for Rapidly Deployed Large-Scale Online Services;Adithya Abraham Philip, Ranjita Bhagwan, Rahul Kumar, Chandra Sekhar Maddila, Nachiappan Nagappan;2019;ICSE;4 x India/1 x USA;Industry;Microsoft Research;Microsoft;Global;Tool;Predictive;Logs/Source code/Project execution;Logistic Regression/SVM, Binary Neural Network, Local-Deep SVM, Extreme Gradient Boosting, FastTree;7.2 Software Project Planning and Cost Estimation - 7.2.5. Risk Management;Other - Not Specified/Continuous integration/Continuous deployment;FastLane
S60;Towards Continuous Software Reliability Testing in DevOps;Roberto Pietrantuono, Antonia Bertolino, Guglielmo De Angelis, Breno Miranda, Stefano Russo;2019;AST;4 x Italy/1 x Brazil;Academic;Università degli Studi di Napoli Federico II, CNR–ISTI, CNR–IASI, Federal University of Pernambuco;N/A;N/A;Procedure or technique;Descriptive/Predictive;Logs;N/A;7.2 Software Project Planning and Cost Estimation - 7.2.5. Risk Management/8.3 Software Process Assessment and Improvement;Continuous integration/ Continuous deployment;N/A
S61;Estimating Story Points from Issue Reports;Porru, Alessandro Murgia, Serge Demeyer, Michele Marchesi, Roberto Tonelli;2016;PROMISE;3 x Italy/2 x Belgium;Academic;"University of Cagliari
University of Antwerpen";not disclosed (1 company);Belgian;Procedure or technique;Predictive;Project execution;SVM/KNN/Decision Tree/Naive Bayes;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Custom XP/Pair programming/Team-based estimation (e.g. Planning Poker)/Iteration/sprint planning;N/A
S62;An effective approach for software project effort and duration estimation with machine learning algorithms;Pospieszny, BeataCzarnacka-Chrobot, AndrzejKobylinski;2018;JSS;3 x Poland;Academic;Warsaw School of Economics;N/A;N/A;Procedure or technique;Predictive;Project execution;SVM/Neural networks/Generalized Linear Models;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified;N/A
S63;Are Software Analytics Efforts Worthwhile for Small Companies? The Case of Amisoft;Robbes, René Vidal, María Cecilia Bastarrica;2013;IEEE Software;3 x Chile;Both;"University of Chile
Amisoft";Amisoft;Chilean;Report;Predictive;Other;N/A;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation/1.4. Requirements Analysis - 1.4.4 Requirements negotiation;Other - Rational Unified Process (RUP)/Other - Not Specified;Unnamed
S64;Using acceptance tests to predict files changed by programming tasks; Thaís Rocha, Paulo Borba, João Pedro Santos;2019;JSS;3 x Brazil;Academic;Federal University of Pernambuco;N/A;N/A;Procedure or technique;Predictive;Logs/Source code;Traditional statistics;3.3 Practical Considerations - 3.3.3. Construction Testing;Other - Not Specified/Behavior-driven development (BDD)/Collective code ownership;TAITI
S65;Detecting User Story Information in Developer-Client Conversations to Generate Extractive Summaries;Rodeghero, Siyuan Jiang, Ameer Armaly and Collin McMillan;2017;ICSE;4 x USA;Academic;University of Notre Dame;not disclosed (1 company);USA;Procedure or technique;Descriptive;User feedback/Logs/Project artifacts/Other;SVM/logistic regression;1.3. Requirements Elicitation - 1.3.2. Elicitation Techniques;Other - Not Specified/Story mapping/Daily standup;N/A
S66;Tricorder: Building a Program Analysis Ecosystem;Sadowski, Jeffrey van Gogh, Ciera Jaspan, Emma Söderberg, Collin Winter;2015;ICSE;5 x USA;Industry;Google;Google;Global (USA);Tool;Descriptive;;static analysis;10.1. Software Quality Fundamentals - 10.1.4. Software Quality Improvement;Other - Not Specified/Continuous Testing infrastructure;Tricoder
S67;When to Automate Software Testing? Decision Support Based on System Dynamics: An Industrial  Case Study;Sahaf, Vahid Garousi, Dietmar Pfahl, Rob Irving, Yasaman Amannejad;2014;ICSSP;4 x Canada/1 x Turkey/1 x Estonia;Both;"University of Calgary
University of Tartu
Atilim University
Pason Systems Comporation";Pason Systems Corporation;Canada;Solution, prototype or judgment;Prescriptive;Organization data;System Dynamics (SD) modeling technique;4.5 Test Process - 4.5.2. Test Activities;Scrum/Iteration/sprint planning;Unnamed
S68;Conceptual scheduling model and optimized release scheduling  for agile environments;Szoke;2011;IST;1 x Hungary;Academic;Dept. of Measurement and Information Systems, Budapest University of Technology and Economics;Multilogic;Hungary;Procedure or technique;Prescriptive;Project execution;multiple knapsack-based optimization model;6.6. Software Release Management and Delivery - 6.6.2. Software Release Management/7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified/Release planning;N/A
S69;Estimating, planning and managing Agile Web development projects under a value-based perspective;Torrecilla-Salinasa, J. Sedeño, M. J. Escalona, M.Mejíasa;2015;IST;4 x Spain;Both;"Department of Computer Languages and Systems, University of Seville, Spain
Agencia Andaluza de Instituciones Culturales, Junta de Andalucía, Spain";not disclosed (government agency);N/A;Empirical model;Predictive;Project artifacts/Project execution;N/A;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Other - Not Specified/Story mapping/Team-based estimation (e.g. Planning Poker);N/A
S70;Search-Based Scheduling of Experiments in Continuous Deployment;Gerald Schermann, Philipp Leitner;2018;ICSME;1 x Switzerland/1x Sweden;Academic;University of Zurich,Chalmers | University of Gothenburg;N/A;N/A;Procedure or technique;Prescriptive/Adaptive;Logs;Simulated Annealing/Genetic algorithms;4.5 Test Process - 4.5.2. Test Activities/2.2 Objectives of Testing - 2.2.13 Usability and Human Computer Interaction Testing;Continuous deployment\Continuous experimentation\Release planning;N/A
S71;Using Developers’ Features to Estimate Story Points;Ezequiel Scott, Dietmar Pfahl;2018;ICSSP;2 x Estonia;Academic;University of Tartu;N/A;N/A;Procedure or technique;Prescriptive;Issue reports/Organization data;SVM;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation;Story mapping;N/A
S72;A Journey Towards Providing Intelligence and Actionable Insights to Development Teams in Software Delivery;Vibhu Saujanya Sharma, Rohit Mehra, Sanjay Podder, Adam P. Burden;2019;ASE;3 x India/1 x Singapore;Industry;Accenture Labs, Accenture;Accenture;Global (India/Singapore);Report;Descriptive/Predictive;;N/A;7.6 Software Engineering Measurement/11.2 Group Dynamics and Psychology - 11.2.1 Dynamics of Working in Teams/Groups;Other - Not Specified;PIVoT
S73;The Effects of Team Backlog Dependencies on Agile Multiteam Systems: A Graph Theoretical Approach.;Scheerer, Alexander and Bick, Saskia and Hildenbrand, Tobias and Heinzl, Armin;2015;HICSS;4 x Germany;Both;"SAP SE
University Mannheim";SAP;Global (Germany/USA);Procedure or technique;Prescriptive;Project artifacts;graph based approach;1.4. Requirements Analysis - 1.4.4 Requirements negotiation;Other - Not Specified;N/A
S74;Using Analytics to Guide Improvement during an Agile–DevOps Transformation;Snyder, Bill Curtis;2017;IEEE Software;2 x USA;Industry;"Fannie Mae
CAST";Fannie Mae;USA;Report;Predictive;Source code;N/A;7.2 Software project planning - 7.2.3. Effort, Schedule and Cost Estimation/7.2 Software project planning - 7.2.4. Resource allocation;Custom Hybrid (multiple methodologies)/Behavior-driven development (BDD)/DevOps;AIP
S75;Rapid Releases and Patch Backouts: A Software Analytics Approach;Souza, Christina Chavez, Roberto A. Bittencourt;2015;IEEE Software;3 x Brazil;Academic;"Federal University of Bahia
State University of Feira de Santana";Mozilla;Global;Report;Predictive;Logs/Issue reports;N/A;6.6. Software Release Management and Delivery - 6.6.2. Software Release Management;Other - Not Specified/Release planning/Automated acceptance testing;N/A
S76;Reviewer Recommendation using Software Artifact Traceability Graphs;Emre Sülün, Eray Tüzün, Ugur Dogrusoz;2019;PROMISE;3 x Turkey;Academic;Bilkent University;N/A;N/A;Procedure or technique;Predictive;Logs/Issue reports/Source code/Organization data;Naive Bayes/custom RSTrace;10.2 Software Quality Management Processes - 10.2.3. Reviews and Audits;Other - Not Specified;RSTraceBot
S77;The unfulfilled potential of data-driven decision making in agile software development;Richard Berntsson Svensson, Robert Feldt, Richard Torkar;2019;XP;3 x Sweden;Academic;Chalmers|University of Gothenburg, Gothenburg;N/A;N/A;Report;;User feedback;N/A;6.6 Software Release Management and Delivery - 6.6.2. Software Release Management/1.3. Requirements Elicitation - 1.3.2. Elicitation Techniques;Custom XP/Kanban/Scrum/Other - Not Specified;N/A
S78;Monitoring Bottlenecks in Agile and Lean Software Development Projects – A Method and Its Industrial Use ;Staron, Wilhelm Meding;2011;PROFES;2 x Sweden;Both;"University of Gothenburg
Ericsson";Ericsson;Sweden;Tool;Descriptive;Project artifacts/Project execution;visualization;7.6. Software Engineering Measurement/7.4. Review and Evaluation - 7.4.2 Reviewing and Evaluating Performance;Other - Not Specified;N/A
S79;Towards Unified Software Project Monitoring for Organizations using Hybrid Processes and Tools;Eray Tüzün, Ça?da? Üsfekes, Yagup Macit, Görkem Giray;2019;ICSSP;4 x Turkey;Both;Bilkent University, Havelsan, Independent researcher;N/A;N/A;Solution, prototype or judgment;Descriptive;Issue reports/Project execution;N/A;7.6 Software Engineering Measurement;Scrum/Custom Hybrid (multiple methodologies)/Continuous integration/Continuous delivery/Continuous deployment;Unnamed
S80;Enabling Real-Time Feedback in Software Engineering;"Larios Vargas, Enrique; Hejderup, Joseph; Kechagia, Maria; Bruntink, Magiel; Gousios, Georgios";2018;ICSE;5 x Netherlands;Both;Software Improvement Group (SIG) (2 incl 1st author), 3 x Delft University of Technology;N/A;Netherlands;Procedure or technique;Predictive/Prescriptive;;N/A;7.6. Software Engineering Measurement;Continuous integration/Continuous delivery/continuous deployment/Continuous deployment;N/A
S81;Automated Reporting of Anti-Patterns and Decay in Continuous Integration;Carmine Vassallo, Sebastian Proksch, Harald C. Gall, Massimiliano Di Penta;2019;ICSE;3 x Switzerland/1 x Italy;Academic;University of Zurich, University of Sannio;N/A;N/A;Solution, prototype or judgment;Descriptive;Logs/Source code;Custom algorithm;10.2 Software Quality Management Processes - 10.2.3. Reviews and Audits/5.2 Key Issues in Software Maintenance - 5.2.2. Management Issues;Other - Not Specified/Continuous integration;CI-ODOR
S82;Practical experiences and value of applying software analytics to manage quality;Anna Maria Vollmer, Silverio Martínez-Fernández, Alessandra Bagnato, Jari Partanen, Lidia López, Pilar Rodríguez;2019;ESEM;2 x Germany/1 x France/2 x Finland/1 x Spain;Both;Fraunhofer IESE, Softeam, Bittium, UPC, University of Oulu;not disclosed;not disclosed;Report;;User feedback;N/A;7.6 Software Engineering Measurement;Other - Not Specified/Continuous integration;Q-Rapids
S83;Monitoring-aware IDEs;Jos Winter, Maurício Aniche, Jürgen Cito, Arie van Deursen;2019;ESEC/FSE;3 x Netherlands/1 x USA;Both;Adyen N.V., Delft University of Technology, MIT;N/A;N/A;Solution, prototype or judgment;Descriptive;User feedback/Logs;N/A;7.4. Review and Evaluation - 7.4.2 Reviewing and Evaluating Performance/3.4. Construction Technologies;Other - Not Specified/DevOps;MonitoringAware IDE
S84;Supporting Scope Tracking and Visualization for Very Large-Scale Requirements Engineering-Utilizing FSC+, Decision Patterns, and Atomic Decision Visualizations;Wnuk, Tony Gorschek, David Callele, Even-André Karlsson, Eskil Åhlin, Björn Regnell;2016;TSE;5 x Sweden/1 x Canada;Both;"Blekinge Institute of Technlogy
Lund University
University of Saskatchewan
Add a Lot
Sony Mobile Communications";not disclosed (1 company);not disclosed;Solution, prototype or judgment;Descriptive;Project artifacts;Traditional statistics;1.4. Requirements Analysis - 1.4.4 Requirements negotiation/1.3. Requirements Elicitation - 1.3.2. Elicitation Techniques;Custom XP/Pair programming/Story mapping/Iteration/sprint planning/Relesase planning;FSC+
S85;How Robust Is Your Development Team?;Xiao, Zhongyuan Yu, Bohong Chen, Xiao Wang;2017;IEEE Software;4 x USA;Academic;Stevens Institute of Technology;N/A;N/A;Procedure or technique;Predictive;Logs;graph based approach/social network analysis;7.4. Review and Evaluation - 7.4.2 Reviewing and Evaluating Performance;Apache Software Foundation;N/A
S86;TERMINATOR: better automated UI test case prioritization; Zhe Yu, Fahmid Fahid, Tim Menzies, Gregg Rothermel, Kyle Patrick,  Snehit Cherian;2019;ESEC/FSE;6 x USA;Both;North Carolina State University, LexisNexis Legal & Professional;LexisNexis;USA;Procedure or technique;Adaptive;Logs/Source code;SVM;4.5 Test Process - 4.5.2. Test Activities;N/A;TERMINATOR
S87;Software Analytics in Practice;"Zhang, Shi Han, Yingnong Dang, Jian-Guang Lou, Haidong Zhang; Tao Xie";2013;IEEE Software;5 x China/1 x USA;Both;"Microsoft
University of Illinois at Urbana-Champaign";Microsoft;USA;Report;Predictive;Source code;Classification/Clustering;10.3. Practical Considerations - 10.3.1. Software Quality Requirements;Other - Not Specified;StackMine
S88;Software feature refinement prioritization based on online user review mining;Jianzhang Zhang, Yinglin Wang, Tian Xie;2019;IST;3 x China;Academic;Shanghai University of Finance and Economics;N/A;N/A;Procedure or technique;Prescriptive;User feedback;linear regression;6.6 Software Release Management and Delivery - 6.6.2. Software Release Management;Other - Not Specified/Release planning;N/A

